,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
3578,37,False,52,14.00,5
3579,52,False,69,14.00,5
3580,29,False,30,9.00,4
3581,29,False,21,5.00,3
3582,106,False,86,14.00,5
3583,76,False,87,14.00,5
3584,147,False,80,14.00,5
3585,92,True,116,20.00,6
3586,133,False,89,12.00,5
3587,101,False,94,14.00,5
3588,51,False,46,14.00,5
3589,83,False,86,14.00,5
3590,66,False,54,9.00,4
3591,117,False,82,14.00,5
3592,96,False,64,12.00,5
3593,85,False,65,14.00,5
3594,101,False,52,9.00,4
3595,83,False,67,12.00,5
3596,97,False,78,14.00,5
3597,190,True,93,20.00,6
3598,134,False,79,12.00,5
3599,169,False,62,9.00,4
3600,16,False,12,5.00,3
3601,29,False,25,5.00,3
3602,392,False,76,14.00,5
3603,156,False,107,14.00,5
3604,53,False,96,14.00,5
3605,69,False,50,9.00,4
3606,96,True,102,20.00,6
3607,49,False,63,14.00,5
3608,46,True,89,20.00,6
3609,78,True,95,20.00,6
3610,42,False,71,14.00,5
3611,55,False,64,14.00,5
3612,31,False,27,9.00,4
3613,29,False,36,9.00,4
3614,33,False,41,9.00,4
3615,67,True,102,20.00,6
3616,179,True,82,20.00,6
3617,183,False,84,14.00,5
3618,273,False,71,14.00,5
3619,179,False,80,14.00,5
3620,211,True,95,18.00,6
3621,53,False,62,12.00,5
3622,79,False,79,14.00,5
3623,29,False,44,9.00,4
3624,180,True,100,20.00,6
3625,140,False,57,9.00,4
3626,105,True,89,20.00,6
3627,110,False,106,14.00,5
3628,56,False,48,9.00,4
3629,65,False,64,14.00,5
3630,161,True,111,18.00,6
3631,22,False,23,5.00,3
3632,75,False,57,14.00,5
3633,59,False,41,9.00,4
3634,97,False,92,14.00,5
3635,526,False,71,14.00,5
3636,48,False,50,9.00,4
3637,57,False,39,9.00,4
3638,79,True,95,20.00,6
3639,109,False,73,14.00,5
3640,152,True,110,20.00,6
3641,275,False,63,14.00,5
3642,83,False,87,14.00,5
3643,187,False,76,14.00,5
3644,32,False,26,7.00,4
3645,81,False,112,14.00,5
3646,66,True,100,20.00,6
3647,88,False,88,14.00,5
3648,137,True,88,20.00,6
3649,62,False,36,9.00,4
3650,347,False,99,14.00,5
3651,43,True,98,20.00,6
3652,31,False,27,9.00,4
3653,216,False,63,14.00,5
3654,67,True,93,20.00,6
3655,100,True,96,20.00,6
3656,75,False,77,14.00,5
3657,29,False,39,9.00,4
3658,99,False,40,9.00,4
3659,71,False,30,9.00,4
3660,48,False,66,14.00,5
3661,102,False,78,14.00,5
3662,135,False,66,14.00,5
3663,189,False,59,9.00,4
3664,56,False,64,14.00,5
3665,74,False,56,14.00,5
3666,60,False,64,14.00,5
3667,144,False,80,14.00,5
3668,17,False,16,5.00,3
3669,108,False,67,14.00,5
3670,277,False,85,14.00,5
3671,65,False,47,9.00,4
3672,80,False,75,14.00,5
3673,65,False,67,14.00,5
3674,206,False,76,14.00,5
3675,91,True,93,20.00,6
3676,85,False,64,14.00,5
3677,56,False,25,5.00,3
3678,75,True,100,20.00,6
3679,85,False,50,14.00,5
3680,155,False,62,9.00,4
3681,74,False,87,14.00,5
3682,135,False,80,12.00,5
3683,75,False,58,9.00,4
3684,38,False,37,9.00,4
3685,78,False,78,14.00,5
3686,99,False,92,14.00,5
3687,221,False,71,12.00,5
3688,112,False,75,14.00,5
3689,71,True,103,20.00,6
3690,88,False,77,14.00,5
3691,124,False,92,14.00,5
3692,53,False,58,14.00,5
3693,120,True,98,20.00,6
3694,105,False,78,14.00,5
3695,45,False,48,9.00,4
3696,119,False,84,14.00,5
3697,211,False,73,14.00,5
3698,42,False,44,9.00,4
3699,93,False,85,12.00,5
3700,61,True,118,20.00,6
3701,83,True,89,20.00,6
3702,95,False,62,9.00,4
3703,112,False,64,14.00,5
3704,94,False,69,14.00,5
3705,38,False,36,9.00,4
3706,97,False,78,14.00,5
3707,111,False,91,14.00,5
3708,59,False,39,9.00,4
3709,78,False,78,14.00,5
3710,40,False,48,9.00,4
3711,63,True,103,20.00,6
3712,62,False,48,9.00,4
3713,66,False,75,14.00,5
3714,81,False,50,7.00,4
3715,147,False,73,14.00,5
3716,40,False,30,7.00,4
3717,124,True,100,18.00,6
3718,107,False,107,14.00,5
3719,37,False,27,9.00,4
3720,99,False,76,14.00,5
3721,49,False,54,9.00,4
3722,63,False,67,14.00,5
3723,77,True,88,20.00,6
3724,55,False,62,14.00,5
3725,204,False,100,14.00,5
3726,49,False,62,12.00,5
3727,98,False,75,12.00,5
3728,198,False,82,14.00,5
3729,104,False,59,9.00,4
3730,124,True,95,20.00,6
3731,161,False,73,14.00,5
3732,50,False,52,9.00,4
3733,17,False,16,5.00,3
3734,52,False,33,7.00,4
3735,133,True,87,20.00,6
3736,66,False,24,5.00,3
3737,43,False,64,14.00,5
3738,110,False,81,14.00,5
3739,29,False,36,9.00,4
3740,62,True,100,20.00,6
3741,71,True,104,20.00,6
3742,37,False,41,9.00,4
3743,91,False,66,14.00,5
3744,45,False,50,9.00,4
3745,59,True,95,20.00,6
3746,98,False,73,14.00,5
3747,61,False,43,9.00,4
