,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
149,107,True,250,250,7
150,129,False,227,227,6
151,99,False,197,197,6
152,103,True,204,204,7
153,109,True,212,212,7
154,118,False,251,251,6
155,127,False,246,246,6
156,116,True,227,227,7
157,119,True,227,227,7
158,124,False,239,239,6
159,104,True,232,232,7
160,73,False,128,128,5
161,82,False,160,160,6
162,112,False,216,216,6
163,86,False,149,149,5
164,98,False,179,179,6
165,83,True,188,188,7
166,111,True,245,245,7
167,102,False,190,190,6
168,155,False,290,290,6
169,92,True,203,203,7
170,86,True,204,204,7
171,119,True,261,261,7
172,94,False,171,171,6
173,87,True,198,198,7
174,100,True,225,225,7
175,127,True,263,263,7
176,121,True,265,265,7
177,98,False,190,190,6
178,121,True,248,248,7
179,150,True,284,284,7
180,87,False,175,175,6
181,94,False,188,188,6
182,101,False,191,191,6
183,156,False,329,329,6
184,114,False,193,193,6
185,85,True,189,189,7
186,116,False,217,217,6
187,121,False,225,225,6
188,103,True,218,218,7
189,152,True,304,304,7
190,98,True,236,236,7
191,99,True,216,216,7
192,96,True,216,216,7
193,94,False,179,179,6
194,96,False,189,189,6
195,107,True,221,221,7
196,125,False,232,232,6
197,65,False,107,107,5
198,108,True,232,232,7
199,96,False,200,200,6
200,100,True,209,209,7
201,96,False,186,186,6
202,104,True,234,234,7
203,140,False,280,280,6
204,126,False,223,223,6
205,109,False,222,222,6
206,106,True,228,228,7
207,84,False,165,165,6
208,119,True,254,254,7
209,138,True,277,277,7
210,103,True,238,238,7
211,122,True,258,258,7
212,103,True,214,214,7
213,108,False,207,207,6
214,109,True,243,243,7
215,116,True,255,255,7
216,112,True,235,235,7
217,114,True,254,254,7
218,123,True,253,253,7
219,106,False,168,168,5
220,115,True,265,265,7
221,132,False,235,235,6
222,143,True,269,269,7
223,95,True,223,223,7
224,148,True,318,318,7
225,106,False,223,223,6
226,159,True,336,336,7
227,86,False,165,165,6
228,107,True,243,243,7
229,118,True,267,267,7
230,49,False,62,62,4
231,113,False,230,230,6
232,90,False,188,188,6
233,71,False,120,120,5
234,104,True,238,238,7
235,106,False,207,207,6
236,90,False,176,176,6
237,118,True,247,247,7
238,109,False,226,226,6
239,100,True,206,206,7
240,149,False,261,261,6
241,96,False,169,169,6
242,137,True,260,260,7
243,97,True,199,199,7
244,102,True,222,222,7
245,94,True,207,207,7
246,98,True,230,230,7
247,94,False,164,164,6
248,127,False,235,235,6
249,91,False,182,182,6
250,129,True,278,278,7
251,96,True,219,219,7
252,103,True,222,222,7
253,114,True,229,229,7
254,109,True,219,219,7
255,94,False,159,159,6
256,103,True,235,235,7
257,52,False,80,80,5
258,110,False,198,198,6
259,123,True,246,246,7
260,105,False,187,187,6
261,122,True,280,280,7
262,111,True,225,225,7
263,108,False,203,203,6
264,119,False,218,218,6
265,98,True,227,227,7
266,148,True,283,283,7
267,113,True,248,248,7
268,107,True,225,225,7
269,114,True,252,252,7
270,108,False,218,218,6
271,76,True,192,192,7
272,96,True,214,214,7
273,91,True,211,211,7
274,99,True,218,218,7
275,98,True,209,209,7
276,84,True,192,192,7
277,125,True,268,268,7
278,134,True,254,254,7
